avg_price_per_hour,total_hours,avg_price_smooth,total_hours_smooth_3,total_hours_smooth_6
1630.456048498209,181.5,1630.456048498209,181.5,181.5
1672.5256769374419,221.0,1651.4908627178254,201.25,201.25
1670.5333333333333,174.0,1657.8383529229948,192.16666666666666,192.16666666666666
1671.525293817067,136.5,1671.5281013626143,177.16666666666666,178.25
1676.3073209975864,154.0,1672.788649382662,154.83333333333334,173.4
1655.3795379537953,135.0,1667.7373842561494,141.83333333333334,167.0
1753.6017267267266,141.5,1695.0961952260361,143.5,163.35714285714286
1759.0934065934066,176.0,1722.6915570913095,150.83333333333334,164.9375
1767.2810040515997,220.5,1759.9920457905775,179.33333333333334,171.11111111111111
1784.6544534692991,206.0,1770.3429547047683,200.83333333333334,173.83333333333334
1752.3527004909984,166.5,1768.0960526706324,197.66666666666666,167.77777777777777
1821.395935624659,209.0,1786.1343631949856,193.83333333333334,171.66666666666666
1852.950432900433,151.5,1808.89968967203,175.66666666666666,173.33333333333334
1824.0734649122808,120.75,1832.8066111457908,160.41666666666666,169.63888888888889
1855.4860572318007,97.25,1844.1699850148382,123.16666666666667,165.44444444444446
1835.5705721207064,110.5,1838.3766980882629,109.5,162.0
1806.896640849838,94.5,1832.6510900674484,100.75,152.94444444444446
1838.3407738095239,103.0,1826.935995593356,102.66666666666667,139.88888888888889
1834.2882066056939,126.25,1826.5085404216852,107.91666666666667,131.02777777777777
1854.387316038088,146.5,1842.3387654844353,125.25,128.80555555555554
1911.3110785440122,178.0,1866.6622003959312,150.25,125.36111111111111
2034.623548662611,187.25,1933.440647748237,170.58333333333334,129.33333333333334
2051.129925827403,126.25,1999.0215176780086,163.83333333333334,129.94444444444446
2056.762606087664,187.25,2047.5053601925592,166.91666666666666,139.94444444444446
2061.8880942861783,212.5,2056.5935420670817,175.33333333333334,151.27777777777777
2052.4672873365694,179.25,2057.039329236804,193.0,160.69444444444446
2118.452980106206,47.0,2077.6027872429845,146.25,154.47222222222223
